SubNum,Day,Block,Cond,Load,RT,Acc
sub027,1,1,morph,low,0.61704,1
sub027,1,1,house,high,0.81141,1
sub027,1,1,neutral,high,0.73431,1
sub027,1,1,neutral,low,0.55036,1
sub027,1,1,morph,high,0.72917,0
sub027,1,1,house,low,0.64113,1
sub027,1,1,morph,low,0.75568,1
sub027,1,1,morph,low,0.68809,1
sub027,1,1,fear,high,0.87358,1
sub027,1,1,fear,low,0.71786,1
sub027,1,1,neutral,high,0.70044,0
sub027,1,1,morph,high,0.87464,1
sub027,1,1,fear,high,0.8087,1
sub027,1,1,fear,low,0.78616,1
sub027,1,1,neutral,low,0.60847,1
sub027,1,1,neutral,high,1.1141,1
sub027,1,1,neutral,high,1.08691,1
sub027,1,1,neutral,low,0.56816,1
sub027,1,1,morph,low,0.62542,1
sub027,1,1,neutral,low,0.61863,1
sub027,1,1,morph,high,0.87953,1
sub027,1,1,neutral,high,0.77665,1
sub027,1,1,house,low,0.57723,1
sub027,1,1,house,high,0.84197,1
sub027,1,1,fear,low,0.64328,1
sub027,1,1,neutral,high,0.84434,1
sub027,1,1,neutral,low,0.56614,1
sub027,1,1,fear,high,1.09899,1
sub027,1,1,fear,low,0.67645,1
sub027,1,1,house,high,0.95192,0
sub027,1,1,morph,low,0.55,1
sub027,1,1,fear,low,0.51059,1
sub027,1,1,fear,high,0.89934,1
sub027,1,1,fear,low,0.47152,1
sub027,1,1,house,low,0.44809,1
sub027,1,1,house,high,0.9477,1
sub027,1,1,house,low,0.5994,1
sub027,1,1,morph,low,0.71539,1
sub027,1,1,fear,high,1.0452,1
sub027,1,1,fear,high,1.03367,1
sub027,1,1,neutral,low,0.53584,1
sub027,1,1,fear,low,0.62087,1
sub027,1,1,house,high,1.1204,1
sub027,1,1,morph,high,0.92225,1
sub027,1,1,neutral,low,0.75078,1
sub027,1,1,house,high,1.12244,1
sub027,1,1,neutral,low,0.66252,1
sub027,1,1,neutral,high,1.3118,1
sub027,1,1,house,high,0.75541,0
sub027,1,1,house,high,0.99901,1
sub027,1,1,house,low,0.6238,1
sub027,1,1,morph,low,0.6008,1
sub027,1,1,morph,low,0.66944,1
sub027,1,1,house,high,1.28599,0
sub027,1,1,morph,high,0.77267,0
sub027,1,1,fear,low,0.50994,1
sub027,1,1,house,high,0.81753,0
sub027,1,1,neutral,low,0.56033,1
sub027,1,1,fear,low,0.53842,1
sub027,1,1,fear,high,1.09175,0
sub027,1,1,neutral,low,0.47689,1
sub027,1,1,house,high,0.68839,0
sub027,1,1,house,low,0.40902,1
sub027,1,1,fear,low,0.50316,1
sub027,1,1,morph,low,0.47608,1
sub027,1,1,neutral,high,0.84265,1
sub027,1,1,neutral,high,0.84752,1
sub027,1,1,neutral,high,1.19316,1
sub027,1,1,morph,low,0.63727,0
sub027,1,1,morph,high,0.82137,1
sub027,1,1,fear,low,0.70253,1
sub027,1,1,morph,high,0.97185,0
sub027,1,1,house,high,0.87944,1
sub027,1,1,house,high,0.71213,1
sub027,1,1,fear,low,0.51377,1
sub027,1,1,fear,high,0.93453,0
sub027,1,1,house,high,1.24219,1
sub027,1,1,morph,low,0.61216,1
sub027,1,1,morph,low,0.58983,1
sub027,1,1,morph,high,0.86602,1
sub027,1,2,house,low,0.83502,1
sub027,1,2,morph,low,0.58409,1
sub027,1,2,morph,low,0.39674,1
sub027,1,2,fear,high,0.93398,1
sub027,1,2,fear,low,0.51189,1
sub027,1,2,house,high,0.63245,1
sub027,1,2,fear,low,0.56673,1
sub027,1,2,fear,high,0.80501,1
sub027,1,2,house,low,0.46161,1
sub027,1,2,morph,high,1.12678,0
sub027,1,2,morph,high,0.75675,0
sub027,1,2,neutral,high,0.77162,1
sub027,1,2,house,low,0.59927,1
sub027,1,2,house,low,0.49091,1
sub027,1,2,fear,low,0.54895,1
sub027,1,2,fear,low,0.43092,1
sub027,1,2,fear,low,0.56386,1
sub027,1,2,morph,high,1.06895,1
sub027,1,2,house,high,0.82751,0
sub027,1,2,fear,high,1.42394,0
sub027,1,2,fear,low,0.69783,1
sub027,1,2,neutral,high,0.83522,1
sub027,1,2,morph,low,0.56707,1
sub027,1,2,neutral,low,0.46498,0
sub027,1,2,neutral,high,1.22597,0
sub027,1,2,fear,low,0.64855,1
sub027,1,2,house,high,0.81223,1
sub027,1,2,house,low,0.60784,1
sub027,1,2,fear,high,0.82521,1
sub027,1,2,neutral,high,0.73411,1
sub027,1,2,house,high,0.80166,1
sub027,1,2,neutral,low,0.49103,1
sub027,1,2,house,low,0.52232,1
sub027,1,2,morph,low,0.47934,1
sub027,1,2,house,low,0.58992,1
sub027,1,2,morph,low,0.67882,1
sub027,1,2,fear,high,0.60807,0
sub027,1,2,neutral,high,1.47036,1
sub027,1,2,fear,low,0.71187,1
sub027,1,2,morph,high,0.74092,1
sub027,1,2,house,low,0.55257,1
sub027,1,2,house,low,0.64722,1
sub027,1,2,morph,low,0.69415,1
sub027,1,2,neutral,low,0.71928,1
sub027,1,2,neutral,high,1.59255,1
sub027,1,2,neutral,low,0.74897,1
sub027,1,2,house,low,0.69361,1
sub027,1,2,neutral,high,1.07577,0
sub027,1,2,house,high,1.10045,1
sub027,1,2,neutral,low,0.72133,1
sub027,1,2,neutral,high,0.81064,1
sub027,1,2,neutral,low,0.88441,1
sub027,1,2,house,high,0.74408,1
sub027,1,2,fear,low,0.50254,1
sub027,1,2,neutral,low,0.69297,1
sub027,1,2,morph,high,0.83987,1
sub027,1,2,morph,low,0.64159,1
sub027,1,2,house,low,0.59793,1
sub027,1,2,morph,low,0.99697,1
sub027,1,2,morph,high,0.71867,1
sub027,1,2,neutral,high,0.71697,1
sub027,1,2,fear,low,0.55009,1
sub027,1,2,fear,high,0.67642,1
sub027,1,2,morph,high,0.74443,1
sub027,1,2,house,high,0.74806,1
sub027,1,2,neutral,high,0.65046,1
sub027,1,2,neutral,high,0.81974,1
sub027,1,2,house,high,1.09529,1
sub027,1,2,morph,high,1.60442,0
sub027,1,2,morph,low,0.45716,1
sub027,1,2,neutral,high,1.42612,1
sub027,1,2,fear,high,1.13125,1
sub027,1,2,morph,low,0.67646,1
sub027,1,2,morph,high,0.5674,1
sub027,1,2,fear,low,0.46452,1
sub027,1,2,house,high,1.19904,0
sub027,1,2,fear,high,0.95239,1
sub027,1,2,neutral,low,0.57253,1
sub027,1,2,morph,high,1.26961,1
sub027,1,2,fear,high,0.59097,1
sub027,1,3,neutral,high,0.63255,1
sub027,1,3,house,low,0.47119,1
sub027,1,3,morph,low,0.62349,1
sub027,1,3,house,high,0.6592,1
sub027,1,3,morph,low,0.48052,1
sub027,1,3,house,high,1.16719,1
sub027,1,3,morph,low,0.4249,1
sub027,1,3,neutral,high,0.80803,1
sub027,1,3,house,high,0.59275,1
sub027,1,3,house,high,1.49243,1
sub027,1,3,fear,low,0.3872,1
sub027,1,3,morph,low,0.51513,1
sub027,1,3,morph,high,0.63039,0
sub027,1,3,neutral,low,0.51692,1
sub027,1,3,neutral,high,1.2994,1
sub027,1,3,neutral,low,0.49304,0
sub027,1,3,house,low,0.60872,1
